timestamp,hour,day_of_week,month,year,temperature,weather_condition,visibility,road_type,speed_limit,road_width,road_condition,vehicle_type,vehicle_age,driver_age,driver_experience,fatigue_level,accident_severity
2023-03-05 02:37:39.110143872,2,6,3,2023,9.340899599904269,Clear,96.38746646191515,Highway,109.94309567891273,12.989609612167133,9.725007646857938,Car,5.002845921241846,42.62670910053703,25.787696898279144,32.90219364567846,3.9417939539598676
2019-11-08 10:59:49.803213182,10,4,11,2019,10.749518374209458,Clear,93.38371259399803,Urban,56.48135149858879,10.80819718505608,6.039368492936473,Truck,23.458154593125705,52.503087525080176,34.814070689278836,3.6328817042244275,3.7270988060691614
2023-08-14 00:04:33.871620016,0,0,8,2023,25.072320993120286,Clear,99.50578860004539,Rural,71.48607578423079,8.642946854911752,7.546265689430231,Car,5.1477492858592155,41.22564088334588,26.301626900280848,23.25815745368137,3.582511537227792
2022-03-03 05:56:49.425175376,5,3,3,2022,14.925687548736123,Clear,88.85696756105715,Highway,111.62142896489499,13.12920390486091,8.825908689798615,Truck,8.902302826405887,52.08607427599485,34.174934731967035,55.88758691577291,4.484465894511216
2022-03-27 21:18:22.314464304,21,6,3,2022,9.70486924434979,Clear,95.65624791273943,Residential,29.138410348541846,6.336731065026523,4.373374123705771,Car,10.312280977553627,58.44656534942645,40.09952905227169,24.02109884249827,3.1734867136867466
2022-04-26 02:10:34.627695632,2,1,4,2022,11.492839627957645,Snow,68.29185783483535,Residential,34.69373135056105,7.451536725660553,8.020271603086792,Truck,9.857963405807197,30.606614915114896,12.545374836196794,25.898748506031122,5.898526088917872
2022-07-17 22:53:42.566489504,22,6,7,2022,30.42696298089873,Rain,63.395636574546764,Urban,47.645730276488464,10.815854552947444,9.190981083130492,Truck,5.738988771327993,48.4553328955981,31.09392486541127,24.609682995993097,4.347803599841074
2022-07-27 19:26:19.722205088,19,2,7,2022,26.58948736670923,Clear,89.41631947070432,Urban,53.83956304111712,9.578483792476202,5.218365305185628,Car,4.702651381801643,50.4747681796947,34.3390262981617,36.76465697213522,4.887077958170292
2021-07-08 10:14:10.649297792,10,3,7,2021,33.0034733360543,Clear,98.22764512509673,Residential,27.752714147635878,5.486773638493025,6.964092373100873,Motorcycle,1.402564325017027,36.6429362893207,19.82723004650485,14.722267385088594,2.3377357138233776
2024-07-24 12:14:43.052538128,12,2,7,2024,29.055059786186266,Clear,96.83216003789492,Rural,62.76122376323892,9.082454788382163,4.968759597923553,Car,6.033394639116219,52.89774056272333,35.122323387603686,28.01807698658479,4.25421877947826
